text,clean_text,created_at,date,hour,month,day_of_week,user_location,country,hashtags,sentiment,compound_score,retweet_count,like_count
Supporting Ukraine but not blindly. Need peace negotiations now. #Russia #Sanctions,supporting ukraine but not blindly need peace negotiations now #russia #sanctions,2023-01-01 00:00:00.000000,2023-01-01,0,2023-01,Sunday,India,India,"#russia, #sanctions",Negative,-0.4263,30,48
Ukrainian army showing incredible resistance! Proud of their bravery. #SlavaUkraini #Ukraine #SlavaUkraini,ukrainian army showing incredible resistance proud of their bravery #slavaukraini #ukraine #slavaukraini,2023-01-01 04:22:55.887943,2023-01-01,4,2023-01,Sunday,United States,USA,"#slavaukraini, #ukraine, #slavaukraini",Positive,0.7827,18,89
Russia has legitimate security concerns. NATO expansion threatens peace. #Russia #Russia,russia has legitimate security concerns nato expansion threatens peace #russia #russia,2023-01-01 08:45:51.775887,2023-01-01,8,2023-01,Sunday,,Other,"#russia, #russia",Positive,0.5106,13,11
Israel's response is disproportionate. Too many civilian casualties. #Gaza #Gaza #IsraelHamasWar,israels response is disproportionate too many civilian casualties #gaza #gaza #israelhamaswar,2023-01-01 13:08:47.663831,2023-01-01,13,2023-01,Sunday,Palestine,Palestine,"#gaza, #gaza, #israelhamaswar",Neutral,0.0,3,356
International diplomacy efforts ongoing. Summit scheduled for next week. #Conflict #UN,international diplomacy efforts ongoing summit scheduled for next week #conflict #un,2023-01-01 17:31:43.551775,2023-01-01,17,2023-01,Sunday,Italy,Other,"#conflict, #un",Negative,-0.3182,57,112
The humanitarian crisis in Gaza is getting worse every day. #GazaUnderAttack #IsraelHamasWar #Palestine,the humanitarian crisis in gaza is getting worse every day #gazaunderattack #israelhamaswar #palestine,2023-01-01 21:54:39.439719,2023-01-01,21,2023-01,Sunday,Russia,Russia,"#gazaunderattack, #israelhamaswar, #palestine",Negative,-0.802,11,100
Russian forces advancing near Kharkiv. The world watches in horror. #UkraineWar #SlavaUkraini #Ukraine,russian forces advancing near kharkiv the world watches in horror #ukrainewar #slavaukraini #ukraine,2023-01-02 02:17:35.327663,2023-01-02,2,2023-01,Monday,,Other,"#ukrainewar, #slavaukraini, #ukraine",Negative,-0.5719,19,101
Supporting Ukraine but not blindly. Need peace negotiations now. #Russia #Sanctions,supporting ukraine but not blindly need peace negotiations now #russia #sanctions,2023-01-02 06:40:31.215607,2023-01-02,6,2023-01,Monday,Canada,Other,"#russia, #sanctions",Negative,-0.4263,7,194
More weapons needed for Ukraine to defend itself. #UkraineSupport #NATO,more weapons needed for ukraine to defend itself #ukrainesupport #nato,2023-01-02 11:03:27.103551,2023-01-02,11,2023-01,Monday,Germany,Germany,"#ukrainesupport, #nato",Negative,-0.4927,78,111
Economic impact of the war being felt worldwide. #HumanitarianCrisis,economic impact of the war being felt worldwide #humanitariancrisis,2023-01-02 15:26:22.991495,2023-01-02,15,2023-01,Monday,Australia,Australia,#humanitariancrisis,Negative,-0.5994,20,7
